Query	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene	FunctionalPathway	PMID	PDBID
group_3922	WP_002967489	COG0782	0	K	Transcription elongation factor, GreA/GreB family	GreA			1GRJ
group_3929	WP_004682832	COG0494	0	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	MutT			4V14
group_396	WP_004681885	COG1079	0	F	ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ	NupQ		21926227	
group_3972	WP_002964125	COG0546	0	C	Phosphoglycolate phosphatase, HAD superfamily	Gph			2NYV
group_4072	WP_002964234	COG0776	0	L	Bacterial nucleoid DNA-binding protein IHF-alpha	HimA			1B8Z
group_4074	WP_004684532	COG0486	0	J	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	MnmE	tRNA modification		
group_4087	WP_002964516	COG4321	0	R	Predicted DNA-binding protein, contains ribbon-helix-helix (RHH) domain				3KK4
group_4096	WP_002965766	COG5515	0	S	Uncharacterized conserved protein, DUF1737 domain				2NNR
group_4103	WP_002965045	COG1671	0	S	Uncharacterized conserved protein YaiI, UPF0178 family	YaiI			
group_4132	WP_002963525	COG4736	0	C	Cbb3-type cytochrome oxidase, subunit 3	CcoQ			
group_4139	WP_002971893	COG5567	0	S	Small periplasmic lipoprotein YifL (function unknown)	YifL			
group_4148	WP_002965944	COG3453	0	R	Predicted phosphohydrolase, protein tyrosine phosphatase (PTP) superfamily, DUF442 family				2F46
group_419	WP_025198992	COG2217	2	P	Cation-transporting P-type ATPase	ZntA			4BBJ
group_432	WP_004683706	COG1562	0	I	Phytoene/squalene synthetase	ERG9			3WEK
group_434	WP_004683686	COG0368	0	H	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)	CobS	Cobalamine/B12 biosynthesis	31481610	
group_443	WP_002963765	COG0642	1	T	Signal transduction histidine kinase	BaeS			1JOY
group_443	WP_002963765	COG2202	1	T	PAS domain	PAS			2MWG
group_468	WP_002967437	COG0751	0	J	Glycyl-tRNA synthetase, beta subunit	GlyS	Aminoacyl-tRNA synthetases		
group_524	WP_004682483	COG3714	0	S	Uncharacterized membrane protein YhhN	YhhN			
group_53	WP_002969419	COG1612	0	H	Heme A synthase	CtaA			6A2J
group_553	WP_004684087	COG0147	1	EH	Anthranilate/para-aminobenzoate synthases component I	TrpE	Aromatic amino acid biosynthesis		1I1Q
group_553	WP_004684087	COG0512	1	EH	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	PabA	Aromatic amino acid biosynthesis		1I1Q
group_563	WP_002964414	COG1797	0	H	Cobyrinic acid a,c-diamide synthase	CobB	Cobalamine/B12 biosynthesis		
group_593	WP_004684123	COG2225	1	C	Malate synthase	AceB	TCA cycle, glyoxylate bypass		1D8C
group_609	WP_006017048	COG3564	0	S	Uncharacterized conserved protein, DUF779 family				
group_642	WP_004682020	COG3842	0	E	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	PotA			1Z47
group_653	WP_002963781	COG2363	0	S	Uncharacterized membrane protein YgdD, TMEM256/DUF423 family	YgdD			
group_664	WP_005969315	COG2913	0	M	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex	BamE			2KM7
group_670	WP_005968673	COG0513	3	L	Superfamily II DNA and RNA helicase	SrmB			3RRM
group_689	WP_004686588	COG1024	0	I	Enoyl-CoA hydratase/carnithine racemase	CaiD	Fatty acid biosynthesis		1DCI
group_699	WP_004682847	COG0318	0	I	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	MenE/FadK	Menaquinone biosynthesis	25151136;27455459	5EY9
group_713	WP_004682303	COG2222	0	M	Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain	AgaS		16153181	3C3J
group_772	WP_002965251	COG0476	0	H	Molybdopterin or thiamine biosynthesis adenylyltransferase	ThiF	Molybdopterin biosynthesis	32239579	1ZUD
group_777	WP_004684628	COG0583	0	K	DNA-binding transcriptional regulator, LysR family	LysR			2FYI
group_790	WP_011005564	COG1611	0	F	Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family	PpnN		25728768;27941785;31023582;31420341	2PMB
group_80	WP_006014546	COG3386	0	G	Sugar lactone lactonase YvrE	YvrE	Non-phosphorylated Entner-Doudoroff pathway		1E1A
group_800	WP_002966383	COG0196	0	H	FAD synthase	RibF	Riboflavin/FAD biosynthesis		1MRZ
group_823	WP_002964797	COG0352	0	H	Thiamine monophosphate synthase	ThiE	Thiamine biosynthesis	19060138	1G4T
group_864	WP_005971299	COG2207	1	K	AraC-type DNA-binding domain and AraC-containing proteins	AraC			1BL0
group_867	WP_002966050	COG0785	0	CO	Cytochrome c biogenesis protein CcdA	CcdA			5VKV
group_878	WP_002966277	COG0673	0	R	Predicted dehydrogenase	MviM			3UUW
group_883	WP_004682086	COG1385	0	J	16S rRNA U1498 N3-methylase RsmE	RsmE	16S rRNA modification		1NXZ
group_899	WP_002964683	COG1123	2	O	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain	GsiA			
group_913	WP_004684708	COG1125	0	E	ABC-type proline/glycine betaine transport system, ATPase component	OpuBA			
group_94	WP_004681048	COG0160	0	E	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase	ArgD	Arginine biosynthesis		1SF2
group_946	WP_004683728	COG0834	2	ET	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	HisJ			1GGG
group_954	WP_004683707	COG4872	0	S	Uncharacterized membrane protein				
group_958	WP_002971009	COG0790	2	R	TPR repeat	TPR			1KLX
group_965	WP_004684662	COG0513	1	L	Superfamily II DNA and RNA helicase	SrmB			3RRM
group_974	WP_002963758	COG1138	0	CO	Cytochrome c biogenesis protein CcmF	CcmF			
group_982	WP_004683498	COG2019	0	F	Archaeal adenylate kinase	AdkA			1KI9
hmrR	WP_010658066	COG0789	0	K	DNA-binding transcriptional regulator, MerR family	SoxR			2VZ4
hrpB_2	WP_005970239	COG1643	2	J	HrpA-like RNA helicase	HrpA			5N8R
lptB	WP_002965405	COG1137	0	M	ABC-type lipopolysaccharide export system, ATPase component	LptB		12029038	5L75
lpxD	WP_004683864	COG0764	0	I	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	FabA	Fatty acid biosynthesis		1MKA
map	WP_002969557	COG0024	0	J	Methionine aminopeptidase	Map			3J2I
mdh	WP_004684458	COG0039	0	C	Malate/lactate dehydrogenase	Mdh	TCA cycle		4WLO
mgtA	WP_005972079	COG0474	0	P	Magnesium-transporting ATPase (P-type)	MgtA			1IWO
mnmA	WP_004684096	COG0482	0	J	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	MnmA	tRNA modification	25825430	2HMA
mutS	WP_004684675	COG0249	0	L	DNA mismatch repair ATPase MutS	MutS			1E3M
plsX	WP_004683580	COG0416	0	I	Acyl-ACP:phosphate acyltransferase (fatty acid/phospholipid biosynthesis)	PlsX		18992246	2GK3
polA	WP_004686744	COG0258	1	L	5'-3' exonuclease Xni/ExoIX (flap endonuclease)	ExoIX		19000038;23821668	3ZDA
polA	WP_004686744	COG0749	1	L	DNA polymerase I, 3'-5' exonuclease and polymerase domains	PolA			1D8Y
prfB	WP_075589488	COG1186	1	J	Protein chain release factor PrfB	PrfB	Translation factors		1GQE
purH	WP_004684287	COG0138	0	F	AICAR transformylase/IMP cyclohydrolase PurH	PurH	Purine biosynthesis		1G8M
queF	WP_002964310	COG0780	0	J	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily	QueFC	tRNA modification	14660578;17384645	3BP1
rpiA	WP_002964126	COG0120	0	G	Ribose 5-phosphate isomerase	RpiA	Pentose phosphate pathway		1KS2
rplN	WP_004683923	COG0093	0	J	Ribosomal protein L14	RplN	Ribosome 50S subunit		4V4H
rpmC	WP_002964354	COG0255	0	J	Ribosomal protein L29	RpmC	Ribosome 50S subunit		1VS6
rpmD	WP_002967737	COG1841	0	J	Ribosomal protein L30/L7E	RpmD	Ribosome 50S subunit		1VS6
rpmE	WP_002964804	COG0254	0	J	Ribosomal protein L31	RpmE	Ribosome 50S subunit		1VS6
rpmI	WP_002965184	COG0291	0	J	Ribosomal protein L35	RpmI	Ribosome 50S subunit	28373563	1VS6
rpoB	WP_002966855	COG0085	1	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit	RpoB	RNA polymerase		5UAJ
rpsA	WP_002965274	COG0539	0	J	Ribosomal protein S1	RpsA	Ribosome 30S subunit		4NNH
rpsM	WP_002964340	COG0099	0	J	Ribosomal protein S13	RpsM	Ribosome 30S subunit		4V4H
rpsN	WP_002964349	COG0199	1	J	Ribosomal protein S14	RpsN	Ribosome 30S subunit		4V4H
rpsT	WP_002965247	COG0268	0	J	Ribosomal protein S20	RpsT	Ribosome 30S subunit		4V4H
ruvC	WP_002964793	COG0817	0	L	Holliday junction resolvasome RuvABC endonuclease subunit RuvC	RuvC			1HJR
secDF	WP_011005223	COG0341	1	U	Preprotein translocase subunit SecF	SecF		28830929	2FYH
secDF	WP_011005223	COG0342	3	U	Preprotein translocase subunit SecD	SecD		26100040	3AQP
soxD	WP_002965477	COG4311	0	E	Sarcosine oxidase delta subunit	SoxD			2GAH
sufA	WP_002964063	COG0316	0	O	Fe-S cluster assembly iron-binding protein IscA	IscA			1R94
tesB	WP_004684432	COG1946	0	I	Acyl-CoA thioesterase	TesB			1C8U
thiP	WP_005970857	COG1178	0	P	ABC-type Fe3+ transport system, permease component	FbpB			
thiS	WP_002965463	COG2104	0	H	Sulfur carrier protein ThiS (thiamine biosynthesis)	ThiS	Thiamine biosynthesis		1F0Z
thpR	WP_004684641	COG1514	0	J	RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase)	ThpR		25239919	1IUH
ubiD	WP_004681600	COG0043	0	H	3-polyprenyl-4-hydroxybenzoate decarboxylase	UbiD	Ubiquinone biosynthesis	28057757	2IDB
uppS	WP_002964285	COG0020	0	I	Undecaprenyl pyrophosphate synthase	UppS			1X07
ureF	WP_004682815	COG0830	0	O	Urease accessory protein UreF	UreF			3SF5
virB10	WP_041594650	COG2948	3	U	Type IV secretory pathway, VirB10 component	VirB10			2BHV
wrbA	WP_004683783	COG0655	0	C	Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase	WrbA			4DY4
xdhA	WP_041594638	COG4630	0	F	Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA	XdhA			
xylA	WP_002966715	COG2115	0	G	Xylose isomerase	XylA			1A0C
xylF_1	WP_010659493	COG4213	0	G	ABC-type xylose transport system, periplasmic component	XylF			4YWH
yajC	WP_002964021	COG1862	0	U	Protein translocase subunit YajC	YajC			
ybgF	WP_004684148	COG1729	1	D	Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction	CpoB		25951518	2WZ7
yhgF	WP_040130079	COG2183	0	K	Transcriptional accessory protein Tex/SPT6	Tex			2OCE
