Query	Match	Name	Organism
group_2460	WP_002963588	MULTISPECIES: exodeoxyribonuclease VII small subunit [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
group_2465	WP_004682938	MULTISPECIES: TRAP transporter small permease subunit [Brucella]	Brucella
group_2470	WP_004682379	MULTISPECIES: LacI family transcriptional regulator [Brucella]	Brucella
group_2471	AIJ50857	cytochrome c oxidase, subunit I [Brucella abortus]	Brucella abortus
group_2472	WP_004682211	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2475	AIJ86973	hypothetical protein DK62_2640 [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_2487	AAL54135	catalase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_2488	WP_002964973	MULTISPECIES: GNAT family N-acetyltransferase [Brucella]	Brucella
group_2503	WP_076780379	MULTISPECIES: septal ring lytic transglycosylase RlpA family protein [unclassified Brucella]	unclassified Brucella
group_2504	WP_004685326	LysR substrate-binding domain-containing protein [Brucella melitensis]	Brucella melitensis
group_2505	WP_004685198	VOC family protein, partial [Brucella melitensis]	Brucella melitensis
group_2511	WP_004682503	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2516	WP_002966354	MULTISPECIES: response regulator transcription factor [Brucella]	Brucella
group_2522	WP_005974677	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_2537	AAL51450	d-beta-hydroxybutyrate dehydrogenase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_2549	WP_002964622	MULTISPECIES: BA14K family protein [Brucella]	Brucella
group_255	ENQ92289	hypothetical protein C061_00986 [Brucella melitensis F5/07-239A]	Brucella melitensis F5/07-239A
group_2550	AIJ85068	hypothetical protein DK62_2021 [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_2552	WP_004684051	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2554	WP_002964569	MULTISPECIES: alkylphosphonate utilization protein [Brucella]	Brucella
group_2556	WP_004684007	MULTISPECIES: SspB family protein [Brucella]	Brucella
group_2559	ABX62434	Hypothetical protein BCAN_A1400 [Brucella canis ATCC 23365]	Brucella canis ATCC 23365
group_2563	AAX74657	hypothetical protein BruAb1_1323 [Brucella abortus bv. 1 str. 9-941]	Brucella abortus bv. 1 str. 9-941
group_2571	WP_004683905	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2572	WP_004683894	MULTISPECIES: DUF1489 family protein [Brucella]	Brucella
group_267	WP_002966296	MULTISPECIES: U32 family peptidase [Brucella]	Brucella
group_288	WP_004685134	outer membrane beta-barrel protein [Brucella melitensis]	Brucella melitensis
group_300	WP_004685520	endonuclease/exonuclease/phosphatase family protein [Brucella melitensis]	Brucella melitensis
group_32	WP_004684290	MULTISPECIES: NAD-glutamate dehydrogenase [Brucella]	Brucella
group_353	WP_004685335	alpha-D-glucose phosphate-specific phosphoglucomutase [Brucella melitensis]	Brucella melitensis
group_356	AOG50695	sulfate ABC transporter ATP-binding protein [Brucella melitensis]	Brucella melitensis
group_3589	WP_004683914	MULTISPECIES: transglycosylase SLT domain-containing protein [Brucella]	Brucella
group_3606	AAN30580	major facilitator family transporter [Brucella suis 1330]	Brucella suis 1330
group_3612	ADZ68282	conserved hypothetical protein [Brucella melitensis M28]	Brucella melitensis M28
group_3656	ABX63780	Hypothetical protein, conserved [Brucella canis ATCC 23365]	Brucella canis ATCC 23365
group_3668	WP_002967883	MULTISPECIES: DUF6356 family protein [Brucella]	Brucella
group_3674	WP_002963637	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_3676	AAL54097	hypothetical protein BMEII0855 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3696	AOG50002	hypothetical protein BFL33_06280 [Brucella melitensis]	Brucella melitensis
group_3697	ABQ60695	conserved hypothetical protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_3704	WP_002964592	MULTISPECIES: DUF2306 domain-containing protein [Brucella]	Brucella
group_3712	ADZ88664	conserved hypothetical protein [Brucella melitensis M5-90]	Brucella melitensis M5-90
group_3718	WP_004683040	MULTISPECIES: type II toxin-antitoxin system RelE/ParE family toxin [Brucella]	Brucella
group_373	WP_004684064	MULTISPECIES: ATP-binding protein [Brucella]	Brucella
group_3731	AAL53307	high-affinity branched-chain amino acid transport ATP-binding protein livg [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3734	EEX56073	conserved hypothetical protein [Brucella abortus bv. 4 str. 292]	Brucella abortus bv. 4 str. 292
group_3748	WP_002966111	MULTISPECIES: carbohydrate ABC transporter permease [Brucella]	Brucella
group_3795	AAL54098	hypothetical protein BMEII0856 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3801	WP_002967978	MULTISPECIES: peptidylprolyl isomerase [Brucella]	Brucella
group_3802	WP_006074429	GNAT family N-acetyltransferase [Brucella suis]	Brucella suis
group_3847	WP_005978406	invasion associated locus B family protein [Brucella ovis]	Brucella ovis
group_3851	WP_126981363	DUF853 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_3857	ABQ60711	MutT/nudix family protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_3878	WP_004684121	MULTISPECIES: disulfide bond formation protein B [Brucella]	Brucella
group_3892	WP_004685547	exonuclease domain-containing protein [Brucella melitensis]	Brucella melitensis
group_3895	EEP62836	GntR family transcriptional regulator [Brucella abortus str. 2308 A]	Brucella abortus str. 2308 A
group_3896	AAN30548	base-excision DNA repair protein [Brucella suis 1330]	Brucella suis 1330
group_3901	WP_002972097	MULTISPECIES: Lrp/AsnC family transcriptional regulator [Brucella]	Brucella
group_3932	WP_004683134	MULTISPECIES: DUF983 domain-containing protein [Brucella]	Brucella
group_3941	WP_004684987	GntR family transcriptional regulator [Brucella melitensis]	Brucella melitensis
group_3944	WP_002963809	MULTISPECIES: HD family hydrolase [Brucella]	Brucella
group_3949	WP_046722143	DegQ family serine endoprotease [Brucella melitensis]	Brucella melitensis
group_3958	WP_004685190	MULTISPECIES: lytic transglycosylase domain-containing protein [Brucella]	Brucella
group_3959	EFG36430	crp/FNR family transcriptional regulator [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
group_3967	WP_004681740	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_3968	AAL52462	dihydroorotase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3970	AAL52369	riboflavin synthase alpha chain [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3979	WP_004686432	MULTISPECIES: recombinase family protein [Brucella]	Brucella
group_3986	AAN30691	transcriptional regulator, MarR family [Brucella suis 1330]	Brucella suis 1330
group_3990	WP_002968219	MULTISPECIES: ABC transporter ATP-binding protein [Brucella]	Brucella
group_3992	WP_004685479	peroxiredoxin [Brucella melitensis]	Brucella melitensis
group_4019	WP_004683133	MULTISPECIES: cytochrome c oxidase assembly protein [Brucella]	Brucella
group_4022	WP_006196133	branched-chain amino acid ABC transporter permease [Brucella suis]	Brucella suis
group_4023	EHR08283	hypothetical protein M19_02873 [Brucella abortus bv. 1 str. NI474]	Brucella abortus bv. 1 str. NI474
group_4027	WP_002964979	MULTISPECIES: antibiotic biosynthesis monooxygenase [Brucella]	Brucella
group_4036	WP_002966306	MULTISPECIES: nitrous oxide reductase accessory protein NosL [Brucella]	Brucella
group_4044	3EK1_A	Chain A, Aldehyde dehydrogenase	Brucella abortus 2308
group_405	WP_004685841	helicase [Brucella melitensis]	Brucella melitensis
group_4058	WP_004681171	MULTISPECIES: VOC family protein [Brucella]	Brucella
group_4064	WP_005970945	MULTISPECIES: RluA family pseudouridine synthase [Brucella]	Brucella
group_4065	WP_005974426	ABC transporter substrate-binding protein [Brucella melitensis]	Brucella melitensis
group_4088	WP_005974601	pseudoazurin [Brucella melitensis]	Brucella melitensis
group_4091	ADZ65415	conserved hypothetical protein [Brucella melitensis M28]	Brucella melitensis M28
group_4100	WP_004685062	UbiX family flavin prenyltransferase [Brucella melitensis]	Brucella melitensis
group_4115	WP_002964341	MULTISPECIES: adenylate kinase [Brucella]	Brucella
group_4124	AAN30565	hypothetical protein BR1664 [Brucella suis 1330]	Brucella suis 1330
group_414	WP_004685381	MULTISPECIES: nitrite/sulfite reductase [Brucella]	Brucella
group_429	EEX55139	peptidase M48 Ste24p [Brucella abortus bv. 4 str. 292]	Brucella abortus bv. 4 str. 292
group_447	WP_004685533	ABC-F family ATP-binding cassette domain-containing protein [Brucella melitensis]	Brucella melitensis
group_46	WP_004685796	DUF4159 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_477	ACU47301	pyridine nucleotide-disulphide oxidoreductase family protein [Brucella microti CCM 4915]	Brucella microti CCM 4915
group_505	WP_002965052	MULTISPECIES: class I SAM-dependent methyltransferase [Brucella]	Brucella
group_52	WP_004684486	MULTISPECIES: TIGR02302 family protein [Brucella]	Brucella
group_56	WP_004686617	MULTISPECIES: glycosyltransferase [Brucella]	Brucella
group_560	WP_002966884	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_588	WP_025198823	MFS transporter [Brucella melitensis]	Brucella melitensis
group_59	WP_004681903	MULTISPECIES: dihydroorotase [Brucella]	Brucella
group_61	ABQ62023	NAD(P) transhydrogenase, alpha subunit [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_674	WP_002965550	MULTISPECIES: aspartate aminotransferase family protein [Brucella]	Brucella
group_696	WP_004682927	MULTISPECIES: MATE family efflux transporter [Brucella]	Brucella
group_7	WP_086440183	MULTISPECIES: porin [unclassified Brucella]	unclassified Brucella
group_714	WP_004684829	aldehyde dehydrogenase family protein [Brucella melitensis]	Brucella melitensis
group_759	AIJ85900	spermatogenesis-associated 20 domain protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_766	EEP62776	PhoH-like protein [Brucella abortus str. 2308 A]	Brucella abortus str. 2308 A
group_805	AIJ86507	multidrug resistance A domain protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_898	AEQ08638	hypothetical protein BMNI_I1015 [Brucella melitensis NI]	Brucella melitensis NI
group_900	WP_004682096	MULTISPECIES: glutamine synthetase family protein [Brucella]	Brucella
group_910	EEH15475	mandelate racemase/muconate lactonizing protein [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
group_934	WP_002966598	MULTISPECIES: metallophosphoesterase [Brucella]	Brucella
group_939	WP_002966618	MULTISPECIES: phosphotransferase enzyme family protein [Brucella]	Brucella
group_951	WP_004685609	MULTISPECIES: anhydro-N-acetylmuramic acid kinase [Brucella]	Brucella
group_973	WP_002965986	MULTISPECIES: ABC transporter ATP-binding protein [Brucella]	Brucella
hipO_1	AAL51216	n-acyl-l-amino acid amidohydrolase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
hrpB_1	WP_005974069	ATP-dependent helicase HrpB [Brucella melitensis]	Brucella melitensis
hutI	AIJ86829	imidazolonepropionase [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
ispH	ACO00290	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Brucella melitensis ATCC 23457]	Brucella melitensis ATCC 23457
lepB	AAL52469	signal peptidase i [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
leuC	WP_004684442	MULTISPECIES: 3-isopropylmalate dehydratase large subunit [Brucella]	Brucella
ligA	WP_002964528	MULTISPECIES: NAD-dependent DNA ligase LigA [Brucella]	Brucella
metK	ALM35465	S-adenosylmethionine synthetase [Brucella melitensis]	Brucella melitensis
mscL	WP_006137752	large conductance mechanosensitive channel protein MscL [Brucella melitensis]	Brucella melitensis
namA	WP_004685082	MULTISPECIES: NADH:flavin oxidoreductase/NADH oxidase family protein [Brucella]	Brucella
nrdR	WP_002966765	MULTISPECIES: transcriptional regulator NrdR [Brucella]	Brucella
nuoN	WP_004683623	MULTISPECIES: NADH-quinone oxidoreductase subunit NuoN [Brucella]	Brucella
petA	WP_002964648	MULTISPECIES: ubiquinol-cytochrome c reductase iron-sulfur subunit [Brucella]	Brucella
pgi	WP_004682840	MULTISPECIES: glucose-6-phosphate isomerase [Brucella]	Brucella
pgk	WP_002964816	MULTISPECIES: phosphoglycerate kinase [Brucella]	Brucella
pgl	WP_002968509	MULTISPECIES: 6-phosphogluconolactonase [Brucella]	Brucella
pgsA	WP_002963840	MULTISPECIES: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Brucella]	Brucella
pyk	WP_004685834	pyruvate kinase [Brucella melitensis]	Brucella melitensis
queD	WP_004685238	6-carboxytetrahydropterin synthase QueD [Brucella melitensis]	Brucella melitensis
rcsC	WP_046722154	hybrid sensor histidine kinase/response regulator [Brucella melitensis]	Brucella melitensis
recN	WP_076771450	MULTISPECIES: DNA repair protein RecN [unclassified Brucella]	unclassified Brucella
rfbC	AAL27671	Bme22 [Brucella melitensis]	Brucella melitensis
rnd	WP_004683543	MULTISPECIES: ribonuclease D [Brucella]	Brucella
rnhA	WP_002963635	MULTISPECIES: ribonuclease HI [Brucella]	Brucella
rplI	WP_004683101	MULTISPECIES: 50S ribosomal protein L9 [Brucella]	Brucella
rplM	WP_002963926	MULTISPECIES: 50S ribosomal protein L13 [Brucella]	Brucella
rplQ	WP_002964337	MULTISPECIES: 50S ribosomal protein L17 [Brucella]	Brucella
rpsF	WP_134859906	30S ribosomal protein S6, partial [Brucella abortus]	Brucella abortus
rpsI	WP_004683599	MULTISPECIES: 30S ribosomal protein S9 [Brucella]	Brucella
rpsK	WP_002964339	MULTISPECIES: 30S ribosomal protein S11 [Brucellaceae]	Brucellaceae
sbmA	WP_002963536	MULTISPECIES: peptide antibiotic transporter SbmA [Brucella]	Brucella
thcD	ERT79664	hypothetical protein P052_00559 [Brucella melitensis 02-7258]	Brucella melitensis 02-7258
thiG	WP_004684703	MULTISPECIES: thiazole synthase [Brucella]	Brucella
tkt	WP_004684164	MULTISPECIES: transketolase [Brucella]	Brucella
topA	AAL53908	DNA topoisomerase i [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
trpC	WP_002964269	MULTISPECIES: indole-3-glycerol phosphate synthase TrpC [Brucella]	Brucella
truB	WP_004684584	MULTISPECIES: tRNA pseudouridine(55) synthase TruB [Brucella]	Brucella
tusA	ACD73388	hypothetical protein BAbS19_I19060 [Brucella abortus S19]	Brucella abortus S19
ugpB	WP_004684932	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB [Brucella melitensis]	Brucella melitensis
uxaC	WP_002967248	MULTISPECIES: glucuronate isomerase [Brucella]	Brucella
wecC	WP_002966084	MULTISPECIES: DUF995 domain-containing protein [Brucella]	Brucella
