Gene	Africa.America	Fertile.Crescent	Indo.Pacific	Russia	Western.Mediterranean	Match	COG	FunctionalCategory	Name	Gene.y	FunctionalPathway
group_2622	TRUE	FALSE	FALSE	FALSE	TRUE	WP_005970024	COG1961	L	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	SpoIVCA	
group_2612	TRUE	TRUE	TRUE	FALSE	TRUE	WP_004682376	COG2071	E	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	PuuD	
group_591	TRUE	TRUE	TRUE	FALSE	TRUE	WP_004682376	COG2071	E	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	PuuD	
group_2631	TRUE	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
group_2661	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
tuf	TRUE	FALSE	TRUE	TRUE	TRUE	WP_002970090	COG0050	J	Translation elongation factor EF-Tu, a GTPase	TufA	Translation factors
group_2557	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2292	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2621	TRUE	TRUE	TRUE	FALSE	FALSE	WP_005969858	COG0616	O	Periplasmic serine protease, ClpP class	SppA	
group_2621	TRUE	TRUE	TRUE	FALSE	FALSE	WP_005969858	COG3004	CP	Na+/H+ antiporter NhaA	NhaA	
group_2363	TRUE	TRUE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2653	TRUE	FALSE	FALSE	TRUE	FALSE	WP_011982681	COG3839	G	ABC-type sugar transport system, ATPase component MalK	MalK	
group_2615	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2654	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2303	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_1932	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2302	TRUE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2335	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3057	TRUE	FALSE	FALSE	FALSE	FALSE	WP_004681908	COG0494	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	MutT	
group_3274	TRUE	FALSE	FALSE	FALSE	FALSE	WP_004681908	COG0494	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	MutT	
group_3275	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2626	TRUE	FALSE	TRUE	TRUE	TRUE	WP_002964621	COG1278	K	Cold shock protein, CspA family	CspC	
group_1240	TRUE	FALSE	FALSE	TRUE	TRUE	WP_005970682	COG1674	D	DNA segregation ATPase FtsK/SpoIIIE or related protein	FtsK	
group_2296	TRUE	FALSE	FALSE	FALSE	FALSE	WP_041594662	COG0348	C	Polyferredoxin NapH	NapH	
group_1772	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_1765	TRUE	TRUE	FALSE	FALSE	FALSE	WP_080502841	COG0343	J	Queuine/archaeosine tRNA-ribosyltransferase	Tgt	tRNA modification
group_2657	TRUE	FALSE	FALSE	FALSE	FALSE	WP_005970024	COG1961	L	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	SpoIVCA	
group_2655	TRUE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2663	TRUE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3276	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3273	TRUE	FALSE	FALSE	FALSE	FALSE	WP_004683888	COG3146	R	Predicted N-acyltransferase		
group_2376	TRUE	FALSE	FALSE	FALSE	FALSE	WP_011005472	COG1074	L	3'-5' helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)	RecB	
group_3055	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3383	TRUE	FALSE	FALSE	FALSE	FALSE	WP_011005472	COG1074	L	3'-5' helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)	RecB	
group_2354	TRUE	FALSE	FALSE	FALSE	FALSE	WP_002966643	COG0745	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR	
group_2356	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2739	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3083	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3375	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3376	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_160	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
group_2029	FALSE	TRUE	TRUE	TRUE	TRUE	WP_012093088	COG1522	K	DNA-binding transcriptional regulator, Lrp family	Lrp	
group_2030	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
group_2031	FALSE	TRUE	TRUE	TRUE	TRUE	WP_010658898	COG0834	ET	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	HisJ	
group_487	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
lysDH	FALSE	TRUE	TRUE	TRUE	TRUE	WP_010658899	COG1748	E	Saccharopine dehydrogenase, NADP-dependent	Lys9	Lysine biosynthesis
group_2298	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2665	FALSE	TRUE	TRUE	FALSE	FALSE	WP_004686401	COG5510	S	Predicted small secreted protein		
group_2623	FALSE	TRUE	TRUE	FALSE	TRUE	WP_004685219	COG0640	K	DNA-binding transcriptional regulator, ArsR family	ArsR	
group_200	FALSE	TRUE	TRUE	FALSE	TRUE	WP_004686741	COG0033	G	Phosphoglucomutase/phosphomannomutase	Pgm	
group_2660	FALSE	TRUE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2670	FALSE	TRUE	FALSE	TRUE	FALSE	WP_004686885	COG3573	R	Predicted oxidoreductase		
group_1788	FALSE	TRUE	FALSE	TRUE	FALSE	WP_004683498	COG2019	F	Archaeal adenylate kinase	AdkA	
group_3174	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2353	FALSE	TRUE	FALSE	FALSE	FALSE	WP_002967156	COG2977	Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	EntD	
group_2664	FALSE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2667	FALSE	TRUE	FALSE	FALSE	FALSE	WP_004686734	COG1024	I	Enoyl-CoA hydratase/carnithine racemase	CaiD	Fatty acid biosynthesis
group_2307	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_3628	FALSE	TRUE	FALSE	FALSE	FALSE	WP_004687586	COG1028	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	Fatty acid biosynthesis
group_2676	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2666	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2304	FALSE	FALSE	TRUE	TRUE	FALSE	WP_006256613	COG3108	S	Uncharacterized conserved protein YcbK, DUF882 family	YcbK	
group_2452	FALSE	FALSE	TRUE	FALSE	TRUE	WP_002969866	COG0744	M	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	MrcB	
group_2453	FALSE	FALSE	TRUE	FALSE	TRUE	WP_002969866	COG0744	M	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	MrcB	
group_1966	FALSE	FALSE	TRUE	FALSE	TRUE	WP_002969866	COG0744	M	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	MrcB	
group_3005	FALSE	FALSE	TRUE	TRUE	FALSE	WP_041594640	COG0642	T	Signal transduction histidine kinase	BaeS	
group_3032	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_1245	FALSE	FALSE	TRUE	FALSE	TRUE	WP_002964935	COG3316	X	Transposase (or an inactivated derivative), DDE domain	Rve	
group_3002	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_1243	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_3254	FALSE	FALSE	TRUE	TRUE	FALSE	WP_005968692	COG1680	V	CubicO group peptidase, beta-lactamase class C family	AmpC	
group_3255	FALSE	FALSE	TRUE	TRUE	FALSE	WP_005968692	COG1680	V	CubicO group peptidase, beta-lactamase class C family	AmpC	
group_2628	FALSE	FALSE	TRUE	TRUE	FALSE	WP_004686845	COG0693	V	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	YajL	
group_3003	FALSE	FALSE	TRUE	TRUE	FALSE	WP_002967291	COG0758	L	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	Smf	
group_1775	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004683096	COG1066	L	DNA repair protein RadA/Sms, contains AAA+ ATPase domain	Sms	
group_1778	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004686432	COG1961	L	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	SpoIVCA	
group_2299	FALSE	FALSE	TRUE	FALSE	FALSE	WP_012091817	COG1879	G	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain	RbsB	
group_2366	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004682363	COG3288	C	NAD/NADP transhydrogenase alpha subunit	PntA	
group_2625	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2646	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004681485	COG1902	C	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	FadH	
group_2620	FALSE	FALSE	TRUE	FALSE	FALSE	WP_002964935	COG3316	X	Transposase (or an inactivated derivative), DDE domain	Rve	
group_2638	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004683429	COG1995	H	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	PdxA	Pyridoxal phosphate biosynthesis
group_3344	FALSE	FALSE	TRUE	FALSE	FALSE	WP_002969568	COG3467	V	Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily	NimA	
group_2632	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004684212	COG2258	FV	N-hydroxylaminopurine reductase YiiM, contains MOSC domain	YiiM	
group_2634	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004684168	COG0126	G	3-phosphoglycerate kinase	Pgk	Glycolysis
group_2635	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004684164	COG0021	G	Transketolase	TktA	Pentose phosphate pathway
group_2636	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004684164	COG0021	G	Transketolase	TktA	Pentose phosphate pathway
group_2637	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004683429	COG1995	H	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	PdxA	Pyridoxal phosphate biosynthesis
group_2639	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
group_2640	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004683445	COG0488	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup	
group_2642	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004683445	COG0488	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup	
group_2643	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004683445	COG0488	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup	
group_2644	FALSE	FALSE	TRUE	FALSE	FALSE	WP_002964807	COG1268	H	Biotin transporter BioY	BioY	
group_2645	FALSE	FALSE	TRUE	FALSE	FALSE	WP_004684170	COG0365	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acs	
group_2575	FALSE	FALSE	FALSE	TRUE	TRUE	WP_004686757	COG5514	S	Uncharacterized conserved protein, DUF1794 domain		
group_2319	FALSE	FALSE	FALSE	TRUE	TRUE	WP_011005564	COG1611	F	Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family	PpnN	
group_3006	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684662	COG0513	L	Superfamily II DNA and RNA helicase	SrmB	
group_3026	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3149	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2379	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2624	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3401	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002964053	COG2945	R	Alpha/beta superfamily hydrolase		
group_3403	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002964734	COG1414	K	DNA-binding transcriptional regulator, IclR family	IclR	
group_2355	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002965274	COG0539	J	Ribosomal protein S1	RpsA	Ribosome 30S subunit
group_2381	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2780	FALSE	FALSE	FALSE	TRUE	TRUE	WP_004684625	COG0346	Q	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	GloA	
group_1766	FALSE	FALSE	FALSE	TRUE	FALSE	WP_005968673	COG0513	L	Superfamily II DNA and RNA helicase	SrmB	
bla	FALSE	FALSE	FALSE	TRUE	FALSE	WP_000027057	COG2367	V	Beta-lactamase class A	PenP	
group_2306	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2317	FALSE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
group_2323	FALSE	FALSE	FALSE	TRUE	TRUE	WP_004684123	COG2225	C	Malate synthase	AceB	TCA cycle, glyoxylate bypass
group_2658	FALSE	FALSE	FALSE	TRUE	FALSE	WP_005968673	COG0513	L	Superfamily II DNA and RNA helicase	SrmB	
group_2990	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002965482	COG1653	G	ABC-type glycerol-3-phosphate transport system, periplasmic component	UgpB	
group_3295	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684087	COG0147	EH	Anthranilate/para-aminobenzoate synthases component I	TrpE	Aromatic amino acid biosynthesis
group_3295	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684087	COG0512	EH	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	PabA	Aromatic amino acid biosynthesis
group_3368	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966706	COG0498	E	Threonine synthase	ThrC	Threonine biosynthesis
group_3395	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002964426	COG2087	H	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	CobU	Cobalamine/B12 biosynthesis
group_914	FALSE	FALSE	FALSE	TRUE	FALSE	NP_414879	COG1609	K	DNA-binding transcriptional regulator, LacI/PurR family	PurR	
group_1774	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002964587	COG0358	L	DNA primase (bacterial type)	DnaG	
group_2295	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2328	FALSE	FALSE	FALSE	TRUE	TRUE	WP_012091501	COG1228	Q	Imidazolonepropionase or related amidohydrolase	HutI	
group_2349	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002965322	COG0137	E	Argininosuccinate synthase	ArgG	Arginine biosynthesis
tetA	FALSE	FALSE	FALSE	TRUE	FALSE	WP_005231954	COG2814	G	Predicted arabinose efflux permease AraJ, MFS family	AraJ	
group_2838	FALSE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
group_3406	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004686641	COG0175	EH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	CysD	Cysteine biosynthesis
group_2315	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2316	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2350	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2378	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684555	COG1434	M	Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family	ElyC	
group_2753	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002965150	COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	HisA	Histidine biosynthesis
group_2774	FALSE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
group_2834	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3020	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3286	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966205	COG0673	R	Predicted dehydrogenase	MviM	
group_3297	FALSE	FALSE	FALSE	TRUE	FALSE	WP_010661100	COG0416	I	Acyl-ACP:phosphate acyltransferase (fatty acid/phospholipid biosynthesis)	PlsX	
group_3325	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002963480	COG2197	TK	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	CitB	
group_3404	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002963470	COG0717	F	dCTP deaminase	Dcd	Thymidylate biosynthesis
group_3424	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3430	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_1790	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683959	COG1429	H	Cobalamin biosynthesis protein CobN, Mg-chelatase	CobN	Cobalamine/B12 biosynthesis
group_2321	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966547	COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	AcoB	Pyruvate oxidation
group_2321	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966547	COG1071	C	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	AcoA	Pyruvate oxidation
group_2331	FALSE	FALSE	FALSE	TRUE	TRUE	WP_002963527	COG3278	C	Cbb3-type cytochrome oxidase, subunit 1	CcoN	
group_2365	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2370	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966539	COG1285	P	Magnesium uptake protein YhiD/SapB, involved in acid resistance	SapB	
group_3282	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3287	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3288	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3289	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3298	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3299	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683748	COG0143	J	Methionyl-tRNA synthetase	MetG	Aminoacyl-tRNA synthetases
group_3305	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683707	COG4872	S	Uncharacterized membrane protein		
group_3306	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002963709	COG0598	P	Mg2+ and Co2+ transporter CorA	CorA	
group_3307	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3372	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684303	COG2951	M	Membrane-bound lytic murein transglycosylase B	MltB	
group_3405	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684690	COG0175	EH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	CysD	Cysteine biosynthesis
group_3412	FALSE	FALSE	FALSE	TRUE	FALSE	WP_005231954	COG2814	G	Predicted arabinose efflux permease AraJ, MFS family	AraJ	
group_3413	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3415	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683896	COG1760	E	L-serine deaminase	SdaA	
group_1771	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002963618	COG0304	IQ	3-oxoacyl-(acyl-carrier-protein) synthase	FabB	Fatty acid biosynthesis
group_2339	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2345	FALSE	FALSE	FALSE	TRUE	FALSE	WP_025198990	COG1643	J	HrpA-like RNA helicase	HrpA	
group_2357	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002964973	COG2388	R	Predicted acetyltransferase, GNAT superfamily	YidJ	
group_2371	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004686785	COG4235	CO	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG	
group_2373	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004684678	COG1092	J	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	RlmK	23S rRNA modification
group_2375	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2382	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683858	COG0372	C	Citrate synthase	GltA	TCA cycle
group_2985	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002966162	COG0842	V	ABC-type multidrug transport system, permease component	YadH	
group_3012	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3296	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3308	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002967908	COG0257	J	Ribosomal protein L36	RpmJ	Ribosome 50S subunit
group_3318	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3326	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3330	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683686	COG0368	H	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)	CobS	Cobalamine/B12 biosynthesis
group_3338	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004681510	COG2055	C	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	AllD	TCA cycle
group_3411	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683101	COG0359	J	Ribosomal protein L9	RplI	Ribosome 50S subunit
group_3414	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004686786	COG3021	R	Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily	YafD	
group_3428	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3434	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3435	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002971240	COG2202	T	PAS domain	PAS	
group_3435	FALSE	FALSE	FALSE	TRUE	FALSE	WP_002971240	COG3920	T	Two-component sensor histidine kinase, HisKA and HATPase domains		
group_2337	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2342	FALSE	FALSE	FALSE	TRUE	FALSE	WP_012091754	COG0206	D	Cell division GTPase FtsZ	FtsZ	
group_2348	FALSE	FALSE	FALSE	TRUE	FALSE	WP_005968673	COG0513	L	Superfamily II DNA and RNA helicase	SrmB	
group_2374	FALSE	FALSE	FALSE	TRUE	FALSE	WP_006256613	COG3108	S	Uncharacterized conserved protein YcbK, DUF882 family	YcbK	
group_2962	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004682328	COG2987	E	Urocanate hydratase	HutU	
group_3009	FALSE	FALSE	FALSE	TRUE	FALSE	WP_012092347	COG0188	L	DNA gyrase/topoisomerase IV, subunit A	GyrA	
group_3017	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004683704	COG2518	O	Protein-L-isoaspartate O-methyltransferase	Pcm	
pepN_1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3285	FALSE	FALSE	FALSE	TRUE	FALSE	WP_004682961	COG0583	K	DNA-binding transcriptional regulator, LysR family	LysR	
