Query	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene	FunctionalPathway	PMID	PDBID
group_2453	WP_002969866	COG0744	1	M	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	MrcB			3FWL
group_2466	WP_002964065	COG2608	0	P	Copper chaperone CopZ	CopZ			1AFI
group_2473	WP_002966000	COG2057	0	I	Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit	AtoA			5DBN
group_2474	WP_010658897	COG0834	0	ET	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	HisJ			1GGG
group_2476	WP_029927378	COG0604	0	CR	NADPH:quinone reductase or related Zn-dependent oxidoreductase	Qor			2VCY
group_2505	WP_004686869	COG0001	0	H	Glutamate-1-semialdehyde aminotransferase	HemL	Heme biosynthesis		2CFB
group_2506	WP_004681768	COG0110	1	R	Acetyltransferase, isoleucine patch superfamily	WbbJ			
group_2507	WP_004681766	COG3637	0	M	Opacity protein LomR and related surface antigens	LomR			1Q9F
group_2544	WP_002964621	COG1278	0	K	Cold shock protein, CspA family	CspC			1C9O
group_2555	WP_002969568	COG3467	0	V	Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily	NimA			1W3O
group_257	WP_004681752	COG0438	0	M	Glycosyltransferase involved in cell wall bisynthesis	RfaB			2IV7
group_2572	WP_002965418	COG2860	0	S	Uncharacterized membrane protein YeiH	YadS			5WUC
group_2575	WP_004686757	COG5514	0	S	Uncharacterized conserved protein, DUF1794 domain				
group_2577	WP_004684725	COG3311	0	KX	DNA-binding transcriptional regulator AlpA	AlpA			
group_2591	WP_002965527	COG5352	2	S	Uncharacterized conserved protein				5YIU
group_2599	WP_004680979	COG1298	2	N	Flagellar biosynthesis protein FlhA	FlhA			6AI0
group_2601	WP_005968547	COG0343	0	J	Queuine/archaeosine tRNA-ribosyltransferase	Tgt	tRNA modification	15805528	1XW8
group_2612	WP_004682376	COG2071	0	E	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	PuuD			1L9X
group_2618	WP_012091500	COG2986	0	E	Histidine ammonia-lyase	HutH			1B8F
group_2620	WP_002964935	COG3316	0	X	Transposase (or an inactivated derivative), DDE domain	Rve			
group_2621	WP_005969858	COG0616	1	O	Periplasmic serine protease, ClpP class	SppA			3BEZ
group_2621	WP_005969858	COG3004	1	CP	Na+/H+ antiporter NhaA	NhaA		25746996	1ZCD
group_2622	WP_005970024	COG1961	0	L	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	SpoIVCA			1GDT
group_2623	WP_004685219	COG0640	1	K	DNA-binding transcriptional regulator, ArsR family	ArsR			3F6V
group_2626	WP_002964621	COG1278	0	K	Cold shock protein, CspA family	CspC			1C9O
group_2628	WP_004686845	COG0693	0	V	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	YajL		19028889;28596309;26678554	5SY4
group_2632	WP_004684212	COG2258	0	FV	N-hydroxylaminopurine reductase YiiM, contains MOSC domain	YiiM		18312271;29459651	1O65
group_2634	WP_004684168	COG0126	0	G	3-phosphoglycerate kinase	Pgk	Glycolysis		13PK
group_2635	WP_004684164	COG0021	0	G	Transketolase	TktA	Pentose phosphate pathway		1AY0
group_2636	WP_004684164	COG0021	0	G	Transketolase	TktA	Pentose phosphate pathway		1AY0
group_2637	WP_004683429	COG1995	0	H	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	PdxA	Pyridoxal phosphate biosynthesis		1PS6
group_2638	WP_004683429	COG1995	0	H	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	PdxA	Pyridoxal phosphate biosynthesis		1PS6
group_2640	WP_004683445	COG0488	1	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup			5ZXD
group_2642	WP_004683445	COG0488	1	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup			5ZXD
group_2643	WP_004683445	COG0488	1	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup			5ZXD
group_2644	WP_002964807	COG1268	0	H	Biotin transporter BioY	BioY			4DVE
group_2645	WP_004684170	COG0365	0	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acs		14638756	4B2O
group_2646	WP_004681485	COG1902	0	C	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	FadH			1BWK
group_2653	WP_011982681	COG3839	0	G	ABC-type sugar transport system, ATPase component MalK	MalK			2ONK
group_2657	WP_005970024	COG1961	0	L	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	SpoIVCA			1GDT
group_2658	WP_005968673	COG0513	3	L	Superfamily II DNA and RNA helicase	SrmB			3RRM
group_2665	WP_004686401	COG5510	0	S	Predicted small secreted protein				
group_2667	WP_004686734	COG1024	0	I	Enoyl-CoA hydratase/carnithine racemase	CaiD	Fatty acid biosynthesis		1DCI
group_2670	WP_004686885	COG3573	0	R	Predicted oxidoreductase				
group_2674	WP_004681240	COG0115	0	EH	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	IlvE	Isoleucine, leucine, valine biosynthesis		1A3G
group_2678	WP_002964065	COG2608	0	P	Copper chaperone CopZ	CopZ			1AFI
group_2693	WP_086000502	COG2801	1	X	Transposase InsO and inactivated derivatives	Tra5			
group_2694	WP_004686871	COG1566	2	V	Multidrug resistance efflux pump EmrA	EmrA			4TKO
group_2753	WP_002965150	COG0106	0	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	HisA	Histidine biosynthesis		4U28
group_2775	WP_004683953	COG1903	0	H	Cobalamin biosynthesis protein CbiD (cobalt-precorrin-5B C-methyltransferase)	CbiD	Cobalamine/B12 biosynthesis		1SR8
group_2777	WP_002969234	COG0007	1	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis		1PJQ
group_2777	WP_002969234	COG1648	1	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	CysG2	Heme biosynthesis		1PJQ
group_2780	WP_004684625	COG0346	0	Q	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	GloA		11830595	3R4Q
group_2783	WP_002964590	COG0505	0	EF	Carbamoylphosphate synthase small subunit	CarA	Arginine biosynthesis		1C30
group_2816	WP_004684705	COG2217	3	P	Cation-transporting P-type ATPase	ZntA			4BBJ
group_2816	WP_004684705	COG2217	1	P	Cation-transporting P-type ATPase	ZntA			4BBJ
group_2962	WP_004682328	COG2987	0	E	Urocanate hydratase	HutU			1UWK
group_2985	WP_002966162	COG0842	1	V	ABC-type multidrug transport system, permease component	YadH			
group_2990	WP_002965482	COG1653	0	G	ABC-type glycerol-3-phosphate transport system, periplasmic component	UgpB			2Z8D
group_30	WP_004682552	COG0022	1	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	AcoB	Pyruvate oxidation		2OZL
group_30	WP_004682552	COG1071	1	C	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	AcoA	Pyruvate oxidation		1DTW
group_300	WP_004684256	COG0665	0	E	Glycine/D-amino acid oxidase (deaminating)	DadA			3AWI
group_3000	WP_012091109	COG1473	0	R	Metal-dependent amidase/aminoacylase/carboxypeptidase	AbgB	Lysine biosynthesis	17307853	3RAM
group_3001	WP_002967027	COG0357	0	J	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	RsmG	16S rRNA modification	15375115;22031445	1XDZ
group_3003	WP_002967291	COG0758	0	L	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	Smf			3MAJ
group_3004	WP_002971243	COG5342	1	R	Invasion protein IalB, involved in pathogenesis	IalB			3DTD
group_3005	WP_041594640	COG0642	1	T	Signal transduction histidine kinase	BaeS			1JOY
group_3006	WP_004684662	COG0513	1	L	Superfamily II DNA and RNA helicase	SrmB			3RRM
group_3008	WP_002966144	COG1115	0	E	Na+/alanine symporter	AlsT			6CSE
group_3009	WP_012092347	COG0188	2	L	DNA gyrase/topoisomerase IV, subunit A	GyrA			1SUU
group_3011	WP_002963758	COG1138	0	CO	Cytochrome c biogenesis protein CcmF	CcmF			
group_3013	WP_002964224	COG0669	0	H	Phosphopantetheine adenylyltransferase	CoaD	Pantothenate/CoA biosynthesis		3F3M
group_3014	WP_012091020	COG0606	0	O	Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family	YifB			
group_3015	WP_002967731	COG1785	0	PR	Alkaline phosphatase	PhoA	Folate biosynthesis		1AJA
group_3017	WP_004683704	COG2518	0	O	Protein-L-isoaspartate O-methyltransferase	Pcm		24909784	3LBF
group_3022	WP_004682164	COG1312	0	G	D-mannonate dehydratase	UxuA			1TZ9
group_3023	WP_004682164	COG1312	0	G	D-mannonate dehydratase	UxuA			1TZ9
group_3024	WP_004686820	COG3210	1	U	Large exoprotein involved in heme utilization or adhesion	FhaB			4RM6
group_3024	WP_004686820	COG3468	1	MU	Autotransporter adhesin AidA	AidA			
group_3025	WP_004686820	COG3210	1	U	Large exoprotein involved in heme utilization or adhesion	FhaB			4RM6
group_3025	WP_004686820	COG3468	1	MU	Autotransporter adhesin AidA	AidA			
group_3028	WP_002966277	COG0673	0	R	Predicted dehydrogenase	MviM			3UUW
group_3029	WP_002966658	COG0735	0	P	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	Fur			1MZB
group_3034	WP_002967363	COG4213	0	G	ABC-type xylose transport system, periplasmic component	XylF			4YWH
group_3035	WP_002965082	COG0789	0	K	DNA-binding transcriptional regulator, MerR family	SoxR			2VZ4
group_3037	WP_002965774	COG0158	0	G	Fructose-1,6-bisphosphatase	Fbp	Gluconeogenesis		1BK4
group_3038	WP_004682276	COG2346	0	P	Truncated hemoglobin YjbI	YjbI			1DLW
group_3039	WP_004682303	COG2222	0	M	Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain	AgaS		16153181	3C3J
group_304	WP_004684314	COG4942	0	D	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	EnvC			
group_3040	WP_012091501	COG1228	0	Q	Imidazolonepropionase or related amidohydrolase	HutI			3OOQ
group_3041	WP_002965687	COG1135	0	E	ABC-type methionine transport system, ATPase component	AbcC			6CVL
group_3044	WP_002964148	COG1539	0	H	Dihydroneopterin aldolase	FolB	Folate biosynthesis		1B9L
group_3045	WP_004683786	COG0031	0	E	Cysteine synthase	CysK	Cysteine biosynthesis		1FCJ
group_3046	WP_002965527	COG5352	2	S	Uncharacterized conserved protein				5YIU
group_3049	WP_004684703	COG2022	0	H	Thiazole synthase ThiGH, ThiG subunit (thiamin biosynthesis)	ThiG	Thiamine biosynthesis		1TYG
group_305	WP_002965359	COG1118	0	P	ABC-type sulfate/molybdate transport systems, ATPase component	CysA			
group_3050	WP_002969528	COG2197	0	TK	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	CitB			1A04
group_3052	WP_002965418	COG2860	0	S	Uncharacterized membrane protein YeiH	YadS			5WUC
group_3054	WP_004684675	COG0249	0	L	DNA mismatch repair ATPase MutS	MutS			1E3M
group_3056	WP_002966068	COG0621	0	J	tRNA A37 methylthiotransferase MiaB	MiaB	tRNA modification	17407324;20472640;20584901	4JC0
group_3057	WP_004681908	COG0494	0	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	MutT			4V14
group_3058	WP_004681937	COG3839	0	G	ABC-type sugar transport system, ATPase component MalK	MalK			2ONK
group_3059	WP_012093125	COG0471	1	G	Di- and tricarboxylate antiporter	CitT			4F35
group_3060	WP_004682086	COG1385	0	J	16S rRNA U1498 N3-methylase RsmE	RsmE	16S rRNA modification		1NXZ
group_3062	WP_004682145	COG0747	0	E	ABC-type transport system, periplasmic component	DdpA			3RQT
group_3063	WP_004682186	COG1201	0	L	Lhr-like helicase	Lhr			5V9X
group_3064	WP_002966111	COG0395	0	G	ABC-type glycerol-3-phosphate transport system, permease component	UgpE			1VR4
group_3065	WP_002966111	COG0395	0	G	ABC-type glycerol-3-phosphate transport system, permease component	UgpE			1VR4
group_3066	WP_010658744	COG1653	0	G	ABC-type glycerol-3-phosphate transport system, periplasmic component	UgpB			2Z8D
group_3067	WP_010658744	COG1653	0	G	ABC-type glycerol-3-phosphate transport system, periplasmic component	UgpB			2Z8D
group_3068	WP_004681845	COG0161	0	H	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	BioA	Biotin biosynthesis		1MLY
group_3069	WP_002971258	COG1566	0	V	Multidrug resistance efflux pump EmrA	EmrA			4TKO
group_307	WP_004686741	COG0033	0	G	Phosphoglucomutase/phosphomannomutase	Pgm		30938049	1C47
group_3070	WP_010658587	COG1898	0	M	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme	RfbC			1DZR
group_3071	WP_004681745	COG0664	0	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	Crp			1FT9
group_3072	WP_004681745	COG0664	0	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	Crp			1FT9
group_3073	WP_004681740	COG0747	0	E	ABC-type transport system, periplasmic component	DdpA			3RQT
group_3074	WP_002968345	COG3191	0	E	L-aminopeptidase/D-esterase	DmpA			1B65
group_3075	WP_002966292	COG0163	0	H	Flavin prenyltransferase UbiX	UbiX	Ubiquinone biosynthesis	28754323;26083743	1SBZ
group_3076	WP_002966292	COG0163	0	H	Flavin prenyltransferase UbiX	UbiX	Ubiquinone biosynthesis	28754323;26083743	1SBZ
group_3077	WP_004686851	COG3794	1	C	Plastocyanin	PetE			3BQV
group_3079	WP_011982564	COG4214	0	G	ABC-type xylose transport system, permease component	XylH			
group_3081	WP_002966354	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_3084	WP_002966447	COG0671	3	I	Membrane-associated phospholipid phosphatase	PgpB	Phospholipid biosynthesis		1D2T
group_3085	WP_004681310	COG1566	1	V	Multidrug resistance efflux pump EmrA	EmrA			4TKO
group_3086	WP_002966505	COG1585	0	O	Membrane protein implicated in regulation of membrane protease activity	YbbJ			2EXD
group_3087	WP_002968232	COG5338	1	S	Uncharacterized conserved protein				
group_3088	WP_005972079	COG0474	0	P	Magnesium-transporting ATPase (P-type)	MgtA			1IWO
group_3089	WP_004681171	COG0346	0	Q	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	GloA		11830595	3R4Q
group_309	WP_002971785	COG2855	0	S	Uncharacterized membrane protein YadS, UPF0324 family	YeiH			
group_3092	WP_002966584	COG0410	0	E	ABC-type branched-chain amino acid transport system, ATPase component LivF	LivF		26527648;32250026	1JI0
group_3093	WP_002966598	COG1409	3	T	3',5'-cyclic AMP phosphodiesterase CpdA	CpdA			2ZO9
group_3094	WP_004681048	COG0160	0	E	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase	ArgD	Arginine biosynthesis		1SF2
group_3095	WP_004685908	COG2207	1	K	AraC-type DNA-binding domain and AraC-containing proteins	AraC			1BL0
group_3096	WP_004685908	COG2207	1	K	AraC-type DNA-binding domain and AraC-containing proteins	AraC			1BL0
group_3097	WP_004684154	COG0483	0	G	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family	SuhB	Gluconeogenesis		1AWB
group_3098	WP_002964797	COG0352	0	H	Thiamine monophosphate synthase	ThiE	Thiamine biosynthesis	19060138	1G4T
group_310	WP_006163792	COG0592	0	L	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	DnaN			1JQJ
group_3101	WP_002964749	COG0784	1	T	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F	CheY			6QRJ
